LAT			upstream		
CNIH4					watanabe
DIDO1			downstream		
MCM7			downstream		
MCM8			downstream		
CYR61					watanabe
SNRNP70					watanabe
PHACTR3			upstream		
UBTF			downstream		
TNPO1					watanabe
LBR			upstream		
ADSL					watanabe
PROP1			downstream		
RFC1			downstream		
EDF1			downstream		
PLRG1			downstream		
TFDP1			downstream		
ESPL1			downstream		
TFDP2			downstream		
CTDSP1			upstream		
LCK			upstream		
PPAP2B			upstream		
POLR1B			downstream		
POLR1C			downstream		
MCM3			downstream		
POLR1D			downstream		
MCM4			downstream		
CCDC42					watanabe
MCM5			downstream		watanabe
DNAJC9					watanabe
MCM6			downstream		
HDAC4			downstream		
HDAC5			downstream		
CEBPB			downstream		
HDAC2			downstream		
HDAC3			downstream		
CEBPG			downstream		
TULP4			downstream		
TULP3			downstream		
TTK			upstream		
HDAC8			downstream		
HDAC7			downstream		
TTN					watanabe
POLR2A			downstream		
POLR2B			downstream		
POLR2C			downstream		
POLR2F			downstream		
CSK			upstream		
ASCC2			downstream		
POLR2G			downstream		
ASCC3			downstream		
POLR2H			downstream		
POLR2I			downstream		
POLR2J			downstream		
POLR2K			downstream		
POLR2L			downstream		
MLXIP			downstream		
RNGTT			upstream		
CCDC56					watanabe
FBXL19			downstream		
MTOR			upstream		
PML			downstream		
POLR3B			downstream		
POLR3C			downstream		
CTH			upstream		
DOLPP1			upstream		
POLR3D			downstream		
POLR3E			downstream		
POLR3F			downstream		
RAB18					watanabe
BCOR			downstream		
POLR3K			downstream		
TCERG1			downstream		
PPP2R2A			upstream		
RPS15					watanabe
RPS6KA3			upstream		
PNN			downstream		
RPS14					watanabe
RPS17					watanabe
RPS6KA5			upstream		
PPP2R1B			upstream		
RPS19					watanabe
PPP2R1A					watanabe
RPS6KA2			upstream		
PDK4			upstream		
BTRC			upstream		
RPS12					watanabe
IFRD1			downstream		
HLA-B					watanabe
SRRM1			downstream		
KARS					watanabe
SIK1			upstream		
SIK2			upstream		
BLZF1			downstream		
CASZ1			downstream		
RPAP2			upstream		
MYL12A					watanabe
FXR1			downstream		
FXR2			downstream		watanabe
PDCD11			downstream		
ZNHIT3			downstream		
TP53BP2			upstream		
TRPM7			upstream		
TP53BP1			downstream		
ZZZ3			downstream		
FUBP3			downstream		
ADCK1			upstream		
FUBP1			downstream		
ADCK5			upstream		
ADCK4			upstream		
RNPS1			downstream		
MAGED2		protreg			
ADCK3			upstream		
RBAK			downstream		
TOP2B			downstream		
CITED2			downstream		
CITED4			downstream		
MAGT1					watanabe
LIMD1			downstream		
COIL			downstream		
XPO1					watanabe
TMED2					watanabe
GABPA			downstream		
PARP1			downstream		
STRADB			upstream		
TUBB					watanabe
CBFA2T2			downstream		
C17ORF85					watanabe
TOPORS			downstream		
NFX1			downstream		
ZDHHC21			downstream		
ZNF2			downstream		
ZNF3			downstream		
NT5C			upstream		
HIRA			downstream		
NT5M			upstream		
APBB2			downstream		
APBB1			downstream		
HDX			downstream		
MYEF2					watanabe
NFYB			downstream		
NFYC			downstream		
GBF1					watanabe
SORBS1			upstream		
XPOT					watanabe
CAPZA1					watanabe
NDUFA10					watanabe
FAIM3			downstream		
NOM1			upstream		
LMO4			downstream		
LMO2	merlin		downstream		
PPAPDC2			upstream		
PUS7					watanabe
TRPC4AP			upstream		
MYCN			downstream		
TIMELESS			downstream		
HIST1H2BE			downstream		
HIST1H2BH			downstream		
MATR3			downstream		
HIST1H2BG			downstream		watanabe
NUPR1	merlin		downstream		
HIST1H2BD			downstream		
HIST1H2BC			downstream		
DAP3					watanabe
PXK			upstream		
COPA					watanabe
COPB1					watanabe
PRPF8					watanabe
UBB				ubiSumo	
UBD				ubiSumo	
UBC				ubiSumo	
BPTF			downstream		
DARS					watanabe
POU2F1			downstream		
MLKL	merlin		upstream		
CBX4			downstream		
CBX3					watanabe
NONO			downstream		watanabe
HELZ			downstream		
CAMSAP3			upstream		
TLX2			downstream		
CAPRIN1					watanabe
BRWD1			downstream		
FGFR3	merlin		upstream		
FGFR1			upstream		
THRA			downstream		
YBX2			downstream		
YBX1			downstream		
SNAPC5			downstream		
SPRED1			upstream		
DBP			downstream		
SIX5			downstream		
SNAPC2			downstream		
SNAPC3			downstream		
CYP2R1			upstream		
SNAPC4			downstream		
RBM7			downstream		
COLGALT1		protreg			
H2AFX			upstream		
PPP2R5A			upstream		
PPP2R5D			upstream		
OXSR1			upstream		
UTF1			downstream		
RBL1			downstream		
PEAK1			upstream		
THRAP3			downstream		
VAC14			upstream		
LTK			upstream		
HIST1H2BJ			downstream		
LEF1			downstream		
ATP1A1			upstream		
NR2C2			downstream		
NR2C1			downstream		
THBS1		protreg			
BUB3					watanabe
BUB1			upstream		
MAPK3			upstream		
ZNF286A			downstream		
LIMK1			upstream		
PPP2R2C			upstream		
CDK2AP1					watanabe
LPIN1			upstream		
LPIN2			upstream		
RBMX			downstream		
COBRA1					watanabe
ZNF296			downstream		
ARAF			upstream		
EHMT1			downstream		
RBPJ			downstream		
ZFYVE1			upstream		
PSMD8					watanabe
PSMD6					watanabe
PPP4R1			upstream		
PSMD7					watanabe
PSMD4					watanabe
PPP4R4			upstream		
PSMD2					watanabe
PSMD3					watanabe
PSMD1					watanabe
MEF2A			downstream		
WDHD1			downstream		
DAXX			downstream		
MEF2C			downstream		
ZNF282			downstream		
RFX2			downstream		
HDHD3			upstream		
HSPG2			upstream		
SND1			downstream		watanabe
MYL6					watanabe
PRKAR1A					watanabe
CLNS1A					watanabe
RFX5			downstream		
PSME1					watanabe
PSME2					watanabe
ZNF276			downstream		
ZNF275			downstream		
MTMR2			upstream		
MTMR3			upstream		
MYNN			downstream		
MTMR9			upstream		
NCAPG					watanabe
COPS7B					watanabe
COPS7A					watanabe
MTMR4			upstream		
MRPL12					watanabe
MTMR6			upstream		
PPARGC1B			downstream		
ZNF266			downstream		
LYN			upstream		
ZNF263			downstream		
ERLIN2					watanabe
MLLT10			downstream		
EIF6					watanabe
EZH1			downstream		
EZH2			downstream		
PIGO			upstream		
ZNF250			downstream		
PIGN			upstream		
CTCF			downstream		
HEY1			downstream		
NKRF			downstream		
FASTK			upstream		
RPLP2					watanabe
IKBKG			downstream		
ZNF248			downstream		
UPF1			downstream		
RIPK3			upstream		
NSUN2					watanabe
RIPK4			upstream		
SIRT4			downstream		
MRPL49					watanabe
SIRT5			downstream		
SIRT6			downstream		
SIRT7			downstream		
SIRT2			downstream		
PSMA5					watanabe
PSMA4					watanabe
PSMA1					watanabe
ZNF239			downstream		
PIGG			upstream		
ZNF236			downstream		
ZNF235			downstream		
TMF1			downstream		
SRRT					watanabe
HTT			upstream		
STYXL1			upstream		
UNG					watanabe
PSMB6					watanabe
BTAF1			downstream		
PSMB2					watanabe
AP2S1					watanabe
CLPTM1					watanabe
FLNA			upstream		
FLNB			upstream		
STAT6			downstream		
RPS27A				ubiSumo	
MEF2D			downstream		
PMS1			downstream		
SLC16A1					watanabe
STAT1	merlin		downstream		
USP9X					watanabe
STAT3			downstream		
BYSL					watanabe
PSMC6					watanabe
PSMC3					watanabe
C18ORF34					watanabe
PSMC4					watanabe
PSMC1					watanabe
ZNF219			downstream		
ZNF217			downstream		
MYLK2			upstream		
ZBTB24			downstream		
ZBTB26			downstream		
RORC			downstream		
ZBTB20			downstream		
FOXQ1			downstream		
YY1			downstream		
STK10			upstream		
STK11			upstream		
STK16			upstream		
PIM1			upstream		
PIM3			upstream		
ZNF205			downstream		
ZNF689			downstream		
ZNF688			downstream		
PPP1R16B			upstream		
ZBTB39			downstream		
S100A1					watanabe
ZBTB38			downstream		
PPP1R16A			upstream		
PRPF4B			downstream		
ZBTB34			downstream		
ZBTB33			downstream		
TUBA4A					watanabe
FOXP1			downstream		
MAF			downstream		
