#pid	gene_ids	eids	pathfinders	sif_edges
'p427'	'YWHAZ'|'ADORA3'|'SSTR2'	'edge353'|'edge594'	'watanabe_path'	YWHAZ u ADORA3|ADORA3 u SSTR2
'p428'	'HSPA1B'|'CCR5'|'SSTR2'	'edge128'|'edge463'	'watanabe_path'	HSPA1B u CCR5|CCR5 u SSTR2
'p429'	'SSTR2'|'NOS3'|'PAXIP1'|'NUPR1'	'edge413'|'edge608'|'edge226'	'merlin_path'	SSTR2 u NOS3|NOS3 u PAXIP1|PAXIP1 u NUPR1
'p430'	'GNAI2'|'SSTR5'|'SSTR2'	'edge355'|'edge141'	'watanabe_path'	GNAI2 d SSTR5|SSTR5 u SSTR2
'p431'	'HSPD1'|'AGO1'|'ZNFX1'	'edge523'|'edge573'	'watanabe_path'	HSPD1 u AGO1|AGO1 u ZNFX1
'p432'	'YWHAZ'|'APP'|'SSTR2'	'edge424'|'edge350'	'watanabe_path'	YWHAZ u APP|APP u SSTR2
'p433'	'GPS1'|'COPS5'|'NUPR1'	'edge244'|'edge231'	'watanabe_path'	GPS1 u COPS5|COPS5 u NUPR1
'p434'	'HSPA1B'|'TP53'|'NUPR1'	'edge474'|'edge510'	'watanabe_path'	HSPA1B u TP53|TP53 d NUPR1
'p435'	'FXR2'|'DDX5'|'NUPR1'	'edge408'|'edge133'	'watanabe_path'	FXR2 u DDX5|DDX5 u NUPR1
'p436'	'GNAI2'|'ACKR3'|'SSTR2'	'edge542'|'edge142'	'watanabe_path'	GNAI2 d ACKR3|ACKR3 u SSTR2
'p437'	'VCP'|'ELAVL1'|'SSTR2'	'edge392'|'edge283'	'watanabe_path'	VCP u ELAVL1|ELAVL1 u SSTR2
'p438'	'NME2'|'HTR1B'|'SSTR2'	'edge429'|'edge572'	'watanabe_path'	NME2 u HTR1B|HTR1B u SSTR2
'p439'	'SF3B2'|'AGO2'|'ZNFX1'	'edge477'|'edge96'	'watanabe_path'	SF3B2 u AGO2|AGO2 u ZNFX1
'p440'	'DNMT1'|'TP53'|'NUPR1'	'edge175'|'edge510'	'watanabe_path'	DNMT1 u TP53|TP53 d NUPR1
'p441'	'SND1'|'CREBBP'|'NUPR1'	'edge139'|'edge389'	'watanabe_path'	SND1 u CREBBP|CREBBP u NUPR1
'p442'	'GNAI2'|'GALR3'|'SSTR2'	'edge228'|'edge579'	'watanabe_path'	GNAI2 d GALR3|GALR3 u SSTR2
'p443'	'EIF6'|'PAPD7'|'ZNFX1'	'edge267'|'edge329'	'watanabe_path'	EIF6 u PAPD7|PAPD7 u ZNFX1
'p444'	'JAK1'|'NPY'|'SSTR2'	'edge259'|'edge567'	'watanabe_path'	JAK1 d NPY|NPY u SSTR2
'p445'	'EEF1G'|'MTNR1A'|'SSTR2'	'edge466'|'edge235'	'watanabe_path'	EEF1G u MTNR1A|MTNR1A u SSTR2
'p446'	'GNAI2'|'SST'|'SSTR2'	'edge8'|'edge347'	'watanabe_path'	GNAI2 d SST|SST u SSTR2
'p447'	'DHX15'|'PAPD7'|'ZNFX1'	'edge376'|'edge329'	'watanabe_path'	DHX15 u PAPD7|PAPD7 u ZNFX1
'p448'	'GNAI2'|'HTR1F'|'SSTR2'	'edge561'|'edge169'	'watanabe_path'	GNAI2 d HTR1F|HTR1F u SSTR2
'p449'	'RPL11'|'AGO1'|'ZNFX1'	'edge430'|'edge573'	'watanabe_path'	RPL11 u AGO1|AGO1 u ZNFX1
'p450'	'RPL11'|'AGO4'|'ZNFX1'	'edge590'|'edge195'	'watanabe_path'	RPL11 u AGO4|AGO4 u ZNFX1
