#pid	gene_ids	eids	pathfinders	sif_edges
'p114'	'FGFR3'|'SOCS1'|'TYK2'|'STAT1'	'edge5709'|'edge5681'|'edge5272'	'merlin_path'	FGFR3 u SOCS1|SOCS1 d TYK2|TYK2 d STAT1
'p115'	'APP'|'B2M'|'CBL'|'TRIM21'	'edge2047'|'edge3923'|'edge604'	'protein_path'	APP u B2M|B2M u CBL|CBL u TRIM21
'p116'	'ISG15'|'ISG20'|'IFIT2'|'IRF7'	'edge5615'|'edge4099'|'edge1246'	'protein_path'	ISG15 u ISG20|ISG20 u IFIT2|IFIT2 u IRF7
'p117'	'ISG15'|'CCND1'|'NRAS'|'STAT1'	'edge4086'|'edge5240'|'edge4953'	'protein_path'	ISG15 u CCND1|CCND1 d NRAS|NRAS d STAT1
'p118'	'THBS1'|'ITGA3'|'TP73'|'FGFR3'	'edge4024'|'edge3018'|'edge788'	'protein_path'	THBS1 u ITGA3|ITGA3 d TP73|TP73 d FGFR3
'p119'	'FGFR3'|'MAPK11'|'RELA'|'STAT1'	'edge1798'|'edge1941'|'edge1420'	'merlin_path'	FGFR3 u MAPK11|MAPK11 d RELA|RELA u STAT1
'p120'	'ISG15'|'JAK1'|'IFIT1'|'STAT1'	'edge425'|'edge2706'|'edge2145'	'protein_path'	ISG15 d JAK1|JAK1 d IFIT1|IFIT1 d STAT1
'p121'	'FGFR3'|'SOCS1'|'EP300'|'STAT1'	'edge5709'|'edge4518'|'edge5373'	'merlin_path'	FGFR3 u SOCS1|SOCS1 u EP300|EP300 u STAT1
'p122'	'APP'|'P2RY2'|'VCAM1'|'IRF7'	'edge3084'|'edge4824'|'edge4068'	'protein_path'	APP u P2RY2|P2RY2 d VCAM1|VCAM1 u IRF7
'p123'	'APP'|'GRB2'|'PLCG1'|'STAT1'	'edge558'|'edge5598'|'edge4781'	'protein_path'	APP u GRB2|GRB2 u PLCG1|PLCG1 d STAT1
'p124'	'ISG15'|'HLA-C'|'ADAR'|'IRF7'	'edge5351'|'edge3507'|'edge2595'	'protein_path'	ISG15 u HLA-C|HLA-C u ADAR|ADAR u IRF7
'p125'	'THBS1'|'PDGFB'|'F2'|'FGFR3'	'edge2007'|'edge2997'|'edge4708'	'protein_path'	THBS1 u PDGFB|PDGFB d F2|F2 u FGFR3
'p126'	'ISG15'|'IRF3'|'MX2'|'IRF7'	'edge496'|'edge1691'|'edge5536'	'protein_path'	ISG15 d IRF3|IRF3 u MX2|MX2 u IRF7
'p127'	'ISG15'|'UBA1'|'YWHAZ'|'TRIM21'	'edge4069'|'edge3294'|'edge2772'	'protein_path'	ISG15 u UBA1|UBA1 u YWHAZ|YWHAZ u TRIM21
'p128'	'FGFR3'|'HSPA4'|'REL'|'STAT1'	'edge3228'|'edge3780'|'edge3416'	'merlin_path'	FGFR3 u HSPA4|HSPA4 u REL|REL u STAT1
'p129'	'LAMB1'|'ERBB2IP'|'CDC37'|'MOK'	'edge4098'|'edge1913'|'edge688'	'protein_path'	LAMB1 u ERBB2IP|ERBB2IP d CDC37|CDC37 u MOK
'p130'	'ISG15'|'DUS2'|'UBE2D2'|'TRIM5'	'edge2965'|'edge1284'|'edge125'	'protein_path'	ISG15 u DUS2|DUS2 u UBE2D2|UBE2D2 d TRIM5
'p131'	'APP'|'CD74'|'HLA-DRB1'|'TRIM21'	'edge581'|'edge3225'|'edge3736'	'protein_path'	APP u CD74|CD74 d HLA-DRB1|HLA-DRB1 u TRIM21
'p132'	'FGFR3'|'HSP90AA1'|'JAK2'|'STAT1'	'edge157'|'edge2162'|'edge1462'	'merlin_path'	FGFR3 u HSP90AA1|HSP90AA1 u JAK2|JAK2 d STAT1
'p133'	'APP'|'HSP90AA1'|'TP63'|'FGFR3'	'edge1963'|'edge590'|'edge1790'	'protein_path'	APP u HSP90AA1|HSP90AA1 u TP63|TP63 d FGFR3
'p134'	'ISG15'|'HLA-A'|'OAS1'|'IRF7'	'edge350'|'edge3192'|'edge1406'	'protein_path'	ISG15 u HLA-A|HLA-A u OAS1|OAS1 u IRF7
'p135'	'ISG15'|'CTNNB1'|'EP300'|'STAT1'	'edge4789'|'edge5547'|'edge5373'	'protein_path'	ISG15 u CTNNB1|CTNNB1 d EP300|EP300 u STAT1
'p136'	'APP'|'HSP90AA1'|'MYC'|'TRIM21'	'edge1963'|'edge3012'|'edge2124'	'protein_path'	APP u HSP90AA1|HSP90AA1 u MYC|MYC u TRIM21
'p137'	'APP'|'TRHR'|'GRP'|'NMI'	'edge2674'|'edge2309'|'edge2977'	'protein_path'	APP u TRHR|TRHR u GRP|GRP u NMI
'p138'	'ISG15'|'HLA-B'|'IRF1'|'IRF7'	'edge247'|'edge3003'|'edge131'	'protein_path'	ISG15 u HLA-B|HLA-B u IRF1|IRF1 u IRF7
'p139'	'ISG15'|'IRF4'|'IRAK1'|'STAT1'	'edge2819'|'edge1079'|'edge4291'	'protein_path'	ISG15 u IRF4|IRF4 u IRAK1|IRAK1 u STAT1
'p140'	'FGFR3'|'CCND1'|'CDK5R2'|'STAT1'	'edge3792'|'edge1198'|'edge2059'	'merlin_path'	FGFR3 d CCND1|CCND1 u CDK5R2|CDK5R2 u STAT1
'p141'	'APP'|'YWHAZ'|'HSP90AB1'|'FGFR3'	'edge5655'|'edge4634'|'edge4927'	'protein_path'	APP u YWHAZ|YWHAZ u HSP90AB1|HSP90AB1 u FGFR3
'p142'	'ISG15'|'IRF1'|'ISG20'|'IRF7'	'edge4241'|'edge3237'|'edge434'	'protein_path'	ISG15 u IRF1|IRF1 u ISG20|ISG20 u IRF7
'p143'	'FGFR3'|'TP73'|'EIF2AK2'|'STAT1'	'edge632'|'edge3456'|'edge2656'	'merlin_path'	FGFR3 d TP73|TP73 u EIF2AK2|EIF2AK2 u STAT1
'p144'	'ISG15'|'FLNB'|'PRKCE'|'STAT1'	'edge1012'|'edge4149'|'edge4108'	'protein_path'	ISG15 d FLNB|FLNB u PRKCE|PRKCE u STAT1
'p145'	'ISG15'|'RGS3'|'IRF5'|'STAT1'	'edge3677'|'edge4875'|'edge3807'	'protein_path'	ISG15 u RGS3|RGS3 u IRF5|IRF5 u STAT1
'p146'	'APP'|'PRL'|'TNF'|'IRF7'	'edge4784'|'edge4502'|'edge5845'	'protein_path'	APP u PRL|PRL d TNF|TNF u IRF7
